Type,Gender,Breed1,Color1,Color2,State,Age,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PhotoAmt,is_adopted
Dog,Male,Mixed Breed,Black,NoColor,Selangor,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,80.0,0.0,4.0,1
Cat,Mixed,Calico,Golden,White,Kuala Lumpur,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,0
Cat,Male,Burmese,Brown,White,Kuala Lumpur,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1
Cat,Female,Domestic Short Hair,Gray,White,Selangor,5.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,0.0,0.0,3.0,1
Dog,Female,Mixed Breed,Black,NoColor,Kuala Lumpur,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Dog,Mixed,Miniature Pinscher,Brown,NoColor,Kuala Lumpur,36.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,1
Dog,Male,Mixed Breed,Black,Brown,Pulau Pinang,36.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0
Cat,Male,Domestic Short Hair,Black,NoColor,Selangor,8.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1
Dog,Female,Mixed Breed,Black,Brown,Selangor,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Female,Domestic Short Hair,Black,Yellow,Pulau Pinang,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Male,Domestic Short Hair,Black,Brown,Selangor,12.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,0
Cat,Male,Domestic Short Hair,White,NoColor,Kuala Lumpur,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,Mixed Breed,Black,Brown,Selangor,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,0.0,0.0,6.0,1
Dog,Female,Mixed Breed,Cream,NoColor,Selangor,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Female,Domestic Short Hair,Black,White,Kuala Lumpur,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Female,Basset Hound,Brown,Cream,Selangor,24.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Male,Mixed Breed,Black,Brown,Perak,12.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Male,Domestic Medium Hair,Gray,White,Selangor,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Male,Chihuahua,Cream,White,Selangor,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,200.0,0.0,3.0,1
Cat,Female,Maine Coon,Black,Yellow,Selangor,9.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,0
Cat,Female,American Shorthair,Black,Brown,Selangor,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,1
Dog,Mixed,Mixed Breed,Brown,NoColor,Kuala Lumpur,12.0,2.0,2.0,3.0,3.0,3.0,1.0,4.0,0.0,0.0,5.0,0
Dog,Male,Golden Retriever,Cream,White,Johor,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Cat,Male,Domestic Short Hair,White,NoColor,Kuala Lumpur,12.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0
Dog,Male,Siberian Husky,Black,Gray,Negeri Sembilan,12.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,400.0,0.0,1.0,1
Dog,Male,Mixed Breed,Brown,NoColor,Selangor,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,1
Dog,Male,Mixed Breed,Black,NoColor,Selangor,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,8.0,1
Cat,Male,Domestic Short Hair,Yellow,NoColor,Kuala Lumpur,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,9.0,1
Dog,Male,Mixed Breed,Black,Brown,Selangor,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Male,Domestic Long Hair,Cream,Gray,Selangor,21.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0
Dog,Male,Mixed Breed,Brown,NoColor,Selangor,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0
Cat,Male,Domestic Short Hair,Gray,NoColor,Selangor,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0
Dog,Female,Mixed Breed,Black,Brown,Selangor,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,0
Dog,Male,Poodle,Cream,NoColor,Selangor,60.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,5.0,1
Dog,Female,Shar Pei,Brown,NoColor,Selangor,5.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Cat,Female,Bengal,Black,Brown,Selangor,9.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Male,Mixed Breed,Yellow,NoColor,Kuala Lumpur,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Female,Domestic Medium Hair,White,NoColor,Kuala Lumpur,2.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,1
Dog,Female,Mixed Breed,Brown,White,Kuala Lumpur,15.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,300.0,0.0,5.0,0
Dog,Male,Labrador Retriever,Black,Cream,Pulau Pinang,3.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Female,Mixed Breed,Brown,NoColor,Selangor,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0
Dog,Mixed,Beagle,Brown,Cream,Perak,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,1
Cat,Male,Domestic Short Hair,Black,White,Kuala Lumpur,10.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,0
Dog,Female,Mixed Breed,Black,NoColor,Perak,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,Mixed Breed,Black,Brown,Perak,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0
Cat,Mixed,Domestic Short Hair,Brown,Cream,Kuala Lumpur,3.0,1.0,1.0,3.0,1.0,1.0,1.0,7.0,60.0,0.0,5.0,1
Dog,Male,Mixed Breed,Black,Yellow,Selangor,3.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,4.0,1
Cat,Female,Domestic Medium Hair,Black,Gray,Selangor,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Mixed,Domestic Short Hair,Gray,White,Kuala Lumpur,12.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,10.0,1
Cat,Female,Domestic Short Hair,Black,White,Kuala Lumpur,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Cat,Male,Domestic Long Hair,Black,NoColor,Selangor,4.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,7.0,1
Dog,Female,Terrier,Black,NoColor,Selangor,0.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,1
Cat,Female,Domestic Short Hair,Black,Brown,Selangor,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,0
Dog,Male,Mixed Breed,Black,Brown,Selangor,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,1
Dog,Female,Mixed Breed,Brown,NoColor,Selangor,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0
Cat,Female,Domestic Short Hair,Black,White,Pulau Pinang,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,50.0,0.0,8.0,1
Dog,Male,Mixed Breed,Brown,White,Perak,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Cat,Female,Applehead Siamese,Black,Brown,Kuala Lumpur,12.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,300.0,0.0,3.0,1
Cat,Female,Siamese,Golden,White,Pulau Pinang,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Male,Mixed Breed,Black,Brown,Selangor,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Male,Mixed Breed,White,NoColor,Selangor,24.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Cat,Female,Domestic Short Hair,Black,White,Sarawak,29.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0
Cat,Mixed,Domestic Medium Hair,Brown,Golden,Selangor,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,8.0,1
Cat,Male,Domestic Short Hair,Gray,White,Selangor,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Female,Mixed Breed,Black,Brown,Selangor,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,8.0,1
Cat,Male,Tabby,Yellow,White,Kuala Lumpur,15.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0
Dog,Mixed,Mixed Breed,Black,Golden,Selangor,1.0,1.0,1.0,2.0,2.0,2.0,1.0,6.0,0.0,0.0,4.0,0
Cat,Female,Domestic Short Hair,Black,White,Selangor,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Cat,Male,Domestic Short Hair,Golden,White,Selangor,24.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0
Cat,Male,Domestic Short Hair,Golden,Yellow,Pulau Pinang,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Mixed,Mixed Breed,Brown,White,Selangor,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,4.0,1
Cat,Female,Domestic Long Hair,Golden,Cream,Kuala Lumpur,14.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Male,Domestic Short Hair,Brown,White,Selangor,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Cat,Female,Domestic Short Hair,Brown,Yellow,Kuala Lumpur,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,4.0,1
Dog,Male,Mixed Breed,Golden,NoColor,Selangor,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Cat,Female,Domestic Short Hair,Golden,Yellow,Kuala Lumpur,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,10.0,0.0,12.0,1
Dog,Female,Rottweiler,Black,NoColor,Selangor,8.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1000.0,0.0,2.0,1
Dog,Male,Chihuahua,Brown,NoColor,Selangor,36.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,1
Dog,Female,Mixed Breed,Cream,White,Kuala Lumpur,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0
Dog,Male,Beagle,Black,Brown,Kuala Lumpur,36.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,550.0,0.0,3.0,0
Dog,Female,Mixed Breed,Yellow,NoColor,Kuala Lumpur,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,6.0,0
Dog,Female,Mixed Breed,Black,Brown,Kuala Lumpur,48.0,2.0,2.0,2.0,2.0,2.0,1.0,10.0,0.0,0.0,1.0,0
Cat,Female,Domestic Short Hair,Black,White,Kuala Lumpur,6.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Female,Domestic Short Hair,Black,Brown,Kuala Lumpur,12.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0
Cat,Male,Domestic Short Hair,Brown,Cream,Kuala Lumpur,36.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Male,Mixed Breed,Black,Brown,Selangor,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Cat,Female,Domestic Medium Hair,Black,White,Selangor,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,50.0,0.0,6.0,1
Cat,Mixed,Domestic Medium Hair,Brown,Gray,Kuala Lumpur,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,5.0,1
Cat,Mixed,Domestic Short Hair,Black,Gray,Kuala Lumpur,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1
Cat,Male,Domestic Short Hair,Brown,Yellow,Pulau Pinang,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,7.0,1
Cat,Male,Domestic Short Hair,Black,White,Kuala Lumpur,5.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,4.0,0
Dog,Male,Mixed Breed,Golden,NoColor,Melaka,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0
Cat,Male,Domestic Short Hair,Gray,NoColor,Selangor,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1
Cat,Female,Domestic Short Hair,Black,Brown,Selangor,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,15.0,0.0,2.0,1
Cat,Male,Domestic Short Hair,Black,Gray,Selangor,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,1
Dog,Female,Mixed Breed,Black,NoColor,Kuala Lumpur,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,100.0,0.0,3.0,0
Dog,Male,Mixed Breed,Black,Brown,Selangor,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,5.0,0
Cat,Male,Persian,Black,Golden,Kuala Lumpur,9.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,300.0,0.0,3.0,0
Cat,Female,Ragdoll,Black,White,Selangor,4.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,250.0,0.0,3.0,1
Dog,Female,Mixed Breed,Cream,NoColor,Perak,18.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,1
